Borough,Neighborhood,Latitude,Longitude
South Charlotte,Arboretum,35.097830000000044,-80.78445999999997
South Charlotte,Ayrsley,35.13855915534606,-80.93535293939767
South Charlotte,Ballantyne,35.057650000000024,-80.84632999999997
South Charlotte,Barclay Downs,35.16086000000007,-80.83742999999998
South Charlotte,Beverly Woods,35.13531000000006,-80.84378999999996
South Charlotte,Blakeney,35.037060000000054,-80.80554999999998
South Charlotte,Cameron Wood,35.10431937603383,-80.85229029402791
South Charlotte,Carmel Village,35.08593292768852,-80.84608807683885
South Charlotte,Chantilly,35.21339000000006,-80.81006999999994
South Charlotte,Cherry,35.21063000000004,-80.83080999999999
South Charlotte,Cotswold,35.18119000000007,-80.79833999999994
South Charlotte,Dilworth,35.20959000000005,-80.84760999999997
South Charlotte,Eastover,35.196330000000046,-80.81890999999996
South Charlotte,Grier Heights,35.196830000000034,-80.80510999999996
South Charlotte,South End,35.20688592233113,-80.86008597468833
South Charlotte,Landsdowne,35.14559000000003,-80.78254999999996
South Charlotte,Madison Park,35.16747000000004,-80.86165999999997
South Charlotte,Myers Park,35.197370000000035,-80.83222999999998
South Charlotte,Nations Ford,35.125589869964415,-80.89970095712087
South Charlotte,Parkdale,35.157097,-80.84493
South Charlotte,Piper Glen,35.074139833101874,-80.80900961830241
South Charlotte,Quail Hollow,35.13388000000003,-80.86051999999995
South Charlotte,Raeburn,35.059989,-80.812711
South Charlotte,Sedgefield,35.19259000000005,-80.86362999999994
South Charlotte,SouthPark,35.15447297301851,-80.83251429321943
South Charlotte,Starmount,35.14067000000006,-80.87282999999996
South Charlotte,Steele Creek,35.12322000000006,-80.98690999999997
South Charlotte,Yorkshire,35.09912000000003,-80.97071999999997
West Charlotte,Ashley Park,35.230540000000076,-80.88416999999998
West Charlotte,Dixie/Berryhill,35.15374000000003,-80.99536999999998
West Charlotte,Biddleville,35.24550000000005,-80.85698999999994
West Charlotte,Camp Greene,35.23257067526388,-80.88302212953589
West Charlotte,Clanton Park,35.20688000000007,-80.89252999999997
West Charlotte,Reid Park,35.21061000000003,-80.89993999999996
West Charlotte,Coulwood,35.297543475585194,-80.94605424863006
West Charlotte,Enderly Park,35.244980000000055,-80.88447999999994
West Charlotte,Lincoln Heights,35.26342000000005,-80.84873999999996
West Charlotte,Mountain Island,35.33311000000003,-80.93761999999998
West Charlotte,Northwood Estates,35.286612123904604,-80.86575141773623
West Charlotte,Oakview Terrace,35.26176000000004,-80.87246999999996
West Charlotte,Paw Creek,35.27589000000006,-80.94018999999997
West Charlotte,Revolution Park,35.21321000000006,-80.88352999999995
West Charlotte,Shopton,35.17198521225504,-80.96853945155735
West Charlotte,Shuffletown,35.320670000000064,-80.95262999999994
West Charlotte,Thomasboro/Hoskins,35.26342000000005,-80.88759999999996
West Charlotte,Todd Park,35.27838000000003,-80.91486999999995
West Charlotte,University Park,35.265450000000044,-80.86330999999996
West Charlotte,Washington Heights,35.25483000000003,-80.85889999999995
West Charlotte,Wesley Heights,35.234470000000044,-80.86132999999995
West Charlotte,Wilmore,35.214150000000075,-80.85888999999997
West Charlotte,Wick City,35.222860000000026,-80.83795999999995
West Charlotte,Yorkmount Park,35.16408000000007,-80.90211999999997
North Charlotte,Belmont,35.229100000000074,-80.81971999999996
North Charlotte,College Downs,35.29180000000008,-80.73795999999999
North Charlotte,Croft,35.34462000000008,-80.82404999999994
North Charlotte,Derita,35.29525000000007,-80.79782999999998
North Charlotte,Eastfield/Prosperity,35.344642082451536,-80.77405886252848
North Charlotte,Hidden Valley,35.273450000000025,-80.78220999999996
North Charlotte,Highland Creek,35.379110000000026,-80.75997999999998
North Charlotte,Lockwood,35.24045000000007,-80.82836999999995
North Charlotte,Newell,35.288310000000024,-80.72169999999994
North Charlotte,NoDa,35.24252000000007,-80.81243999999998
North Charlotte,Northlake,35.312686118161764,-80.85535430388175
North Charlotte,Tryon Hills,35.252080000000035,-80.81981999999994
North Charlotte,University City,35.29147355876503,-80.75369004641678
North Charlotte,Villa Heights,35.23694000000006,-80.80992999999995
North Charlotte,Wilson Heights,35.274770000000046,-80.85342999999995
East Charlotte,Easthaven,35.1927494852982,-80.73125484771963
East Charlotte,Eastland,35.21884711100295,-80.75031821770504
East Charlotte,Grove Park,35.23976000000005,-80.73469999999998
East Charlotte,Hickory Grove,35.24476000000004,-80.72505999999998
East Charlotte,Hickory Ridge,35.217310000000055,-80.71151999999995
East Charlotte,Idlewild,35.18969000000004,-80.74448999999998
East Charlotte,Mint Hill,35.173462,-80.657054
East Charlotte,Oakhurst,35.19559000000004,-80.78106999999994
East Charlotte,Plaza Hills,35.23503000000005,-80.80169999999998
East Charlotte,Plaza-Midwood,35.226170000000025,-80.80264999999997
East Charlotte,Ravenwood,35.247038,-80.725075
East Charlotte,Reedy Creek,35.25556519713013,-80.65172533103652
East Charlotte,Shamrock,35.23968000000008,-80.78843999999998
East Charlotte,Sardis Woods,35.136870000000044,-80.75124999999997
East Charlotte,Sheffield Park,35.204480000000046,-80.76933999999994
East Charlotte,Sherwood Forest,35.17068000000006,-80.78543999999994
East Charlotte,Stonehaven,35.15827000000007,-80.76386999999994
East Charlotte,Windsor Park,35.223190000000045,-80.76319999999998
East Charlotte,Coventry Woods,35.176321980146774,-80.80846304288534
Center City,Uptown,35.24339087073548,-80.70115976607114
Center City,Elizabeth,35.21778000000006,-80.81612999999999
Center City,Midtown,35.20104,-80.840689
Center City,^ archive,-27.471709999999973,153.02556000000004
Center City,"^ ""US",35.222860000000026,-80.83795999999995
Center City,v,35.222860000000026,-80.83795999999995
Center City,t,35.222860000000026,-80.83795999999995
